,"Products of agric., hunting and related services","Products of forestry, logging and related services","Fish,aquaculture prod.,support services to fishing",Coal,Crude petroleum and natural gas,"Metal ores, other mining and quarr. prod.,services","Food products, beverages, tobacco products","Textiles,wearing apparel,leather,leather products","Wood,cork,exc.furn.,art.of straw and plaiting mat.",Paper and paper products,"Printing services, rec. sound,image,data carriers",Coke and refined petroleum products,Chemicals and chemical products,Pharmaceutical products,Rubber and plastics products,Glass and glassware,"Ceramic products, processed stone and clay","Pig iron,steel,products of the first proc.of steel",Non-ferrous metals and semi-finished products,Foundry products,Metal products,"Computer, electronic and optical products",Electrical equipment,Machinery,"Motor vehicles, trailers and semi-trailers",Other transport equipment,Furniture and other manufactured goods n.e.c.,"Repair,maintenance,install. of machinery a. equip.","Electric current,supply of electr.,steam,air cond.","Manufact. gases,distrib. services of gaseous fuels","Natural water, water treatment and supply services","Sewage, waste disposal, material recovery services",Building construction works,Civil engineering works,Specialised construction works,"Wholesale,ret.trade,repair of motor veh.,motorcyc.","Wholesale trade serv.,exc. motor veh. a. motorcyc.","Retail trade serv.,exc. motor veh. and motorcycles",Land transp.serv. a. transport serv. via pipelines,Water transport services,Air transport services,Warehousing and other services for transportation,Postal and courier services,Accommodation and food services,Publishing services,"Audio-visual media, music publishing, broadcasting",Telecommunication services,"Computer programming, consultancy, inform.services",Financial services,Insurance and pension funding services,Services related to financial a.insurance services,Real estate services,"Legal, accounting, management consultancy services","Architectural a. engineering serv., techn. testing",Scientific research and development services,Advertising and market research services,"Other prof.,scientific,techn.,veterinary services",Rental and leasing services,Employment services,"Travel agency, tour operator,other reserv.services","Invest., security, admin., support services n.e.c.",Public administration and defence services,Compulsory social security services,Education services,Human health services,Residential care and social work services,"Arts, culture and gambling services","Sporting, amusement and recreation services",Services of membership organisations,Repair of data processing equipment and durables,Other personal service activities,"Goods a. services of private households, non-spec.",Input of all homogeneous branches,Household final consumption exp.(domestic concept),Final consumption expenditure of NPISHs,Government final consumption expenditure,"Fixed asset investments in machinery,equipment etc",Fixed asset investments in construction,Changes in invent. a. acq. less disp. of valuables,Exports,Exports in EU countries,Exports in member states of the EMU,Exports in non-member states of the EMU,Exports in third countries,"Final uses of products, total",Total uses of products
"Products of agric., hunting and related services",8031,8,0,0,0,0,27269,22,2,0,0,2,12,0,130,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,14,1,0,0,269,0,0,0,0,0,0,0,0,0,0,10,0,4,0,0,0,902,295,0,23,89,75,11,0,6,0,4,0,37181,10088,0,0,32,0,640,5633,4101,3075,1026,1532,16393,53574
"Products of forestry, logging and related services",69,996,0,0,7,55,20,0,2154,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,33,13,0,0,6,5,0,0,11,0,11,0,3504,1235,0,0,0,0,1475,500,327,279,48,173,3210,6714
"Fish,aquaculture prod.,support services to fishing",0,0,44,0,0,0,184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,299,94,0,0,0,0,-18,116,112,100,12,4,192,491
Coal,2,0,0,97,0,0,6,0,0,1,0,31,0,0,0,0,30,12,0,0,0,0,0,0,0,0,0,0,2717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,2904,70,0,0,0,0,-179,130,103,80,23,27,21,2925
Crude petroleum and natural gas,0,0,0,0,0,0,2,0,0,1,0,85,3,0,0,0,0,0,1,0,0,1,0,0,2,1,0,0,226,208,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,546,413,0,7,0,0,229,280,170,116,54,110,929,1475
"Metal ores, other mining and quarr. prod.,services",44,0,0,30,132,2097,115,1,0,12,0,0,5524,0,0,80,2481,11,0,28,8,0,7,0,0,0,0,0,6,0,0,57,930,1186,111,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,39,243,0,0,0,0,0,0,0,0,0,0,13149,64,0,0,79,0,-375,1253,1001,756,245,252,1021,14170
"Food products, beverages, tobacco products",2251,0,0,0,0,6,28046,2,0,0,0,0,926,157,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,1,0,0,0,0,0,0,0,202,71,0,0,9740,0,20,0,0,0,0,0,0,16,0,88,0,4,0,0,0,12,2699,0,640,3601,2017,63,32,187,0,49,0,50835,85830,0,590,0,0,6004,50616,40702,27442,13260,9914,143040,193875
"Textiles,wearing apparel,leather,leather products",27,2,14,2,1,4,1,3162,0,7,2,1,0,15,180,0,0,3,0,1,42,36,31,72,439,42,344,27,0,0,0,0,9,6,118,1,0,29,6,0,1,0,0,84,0,7,0,0,0,0,0,0,0,0,11,5,1,0,0,0,147,34,1,2,66,48,33,6,19,3,17,0,5109,8570,0,0,151,0,-611,9306,7337,4270,3067,1969,17416,22525
"Wood,cork,exc.furn.,art.of straw and plaiting mat.",30,0,1,35,1,29,109,21,5574,181,3,0,184,0,0,27,57,36,17,19,176,80,46,268,164,443,1164,70,7,5,0,29,462,581,2895,16,83,58,4,0,0,32,7,41,0,8,23,0,3,0,2,13,13,0,22,34,6,6,1,0,276,102,2,65,34,16,20,18,2,3,759,0,14383,1381,0,0,82,3655,-532,6525,4390,3012,1378,2135,11111,25494
Paper and paper products,0,3,7,4,3,114,2682,252,123,10438,1143,0,1191,741,338,137,70,0,0,1,313,405,461,254,159,38,429,98,1,5,3,1,0,0,27,5,1757,1051,4,0,3,21,29,20,167,12,5,0,19,0,3,2,157,134,72,54,196,19,24,4,368,15,5,12,16,42,11,10,15,0,16,0,23709,4667,0,0,0,0,-1661,17473,13250,8465,4785,4223,20479,44188
