"year","rel_saving","rel_reduction"
2023,0,1
2024,0.0490196078431373,0.950980392156863
2025,0.0980392156862745,0.901960784313726
2026,0.147058823529412,0.852941176470588
2027,0.196078431372549,0.803921568627451
2028,0.245098039215686,0.754901960784314
2029,0.294117647058824,0.705882352941176
2030,0.343137254901961,0.656862745098039
2031,0.384117647058824,0.615882352941177
2032,0.425098039215686,0.574901960784314
2033,0.466078431372549,0.533921568627451
2034,0.507058823529412,0.492941176470588
2035,0.548039215686275,0.451960784313725
2036,0.589019607843137,0.410980392156863
2037,0.63,0.37
2038,0.670980392156863,0.329019607843137
2039,0.711960784313725,0.288039215686275
2040,0.752941176470588,0.247058823529412
2041,0.777647058823529,0.222352941176471
2042,0.802352941176471,0.197647058823529
2043,0.827058823529412,0.172941176470588
2044,0.851764705882353,0.148235294117647
2045,0.876470588235294,0.123529411764706
2046,0.901176470588235,0.0988235294117648
2047,0.925882352941176,0.0741176470588235
2048,0.950588235294118,0.0494117647058824
2049,0.975294117647059,0.0247058823529411
2050,1,0
