"year","full_renovations_prio","full_renovations_rand","full_renovations_prio_partial","full_renovations_rand_partial","full_renovations_prio_m2","full_renovations_rand_m2","sqm_prio","sqm_rand","sqm_prio_renovated","sqm_rand_renovated","share_flats_prio","share_flats_rand","rate_renovation"
2023,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,1
2024,0.0099992365942048,0.00984412461991478,0.00973756496575707,0.00726921390748405,0.0219135435938819,0.00680145812729231,474.699324778083,203.447203524859,443.700876657758,139.884451697336,0.124177896334452,0.140549919914575,1
2025,0.00999470346153814,0.00958678721911252,0.0095877829517299,0.00716522984778846,0.0166105417454432,0.00647221590468282,366.970905962525,195.476738943484,336.479339484087,136.686123633311,0.10306838797886,0.137195644278146,1
2026,0.010005674956543,0.0100091569280116,0.00946073462582454,0.00753160700722142,0.0149882598540413,0.00698445425604014,336.501087731443,202.95080826161,303.283890627117,141.279613487383,0.0941568887517315,0.140332913253517,1
2027,0.009992601139142,0.0100707812532484,0.00934021580398575,0.00761492684632665,0.0139236090408183,0.00689784360840415,319.129574394096,197.615256295478,282.109549095464,138.673890518479,0.0992767915844834,0.133081088133602,1
2028,0.00999995926752848,0.0100909504087364,0.00928195934519462,0.00755465963416722,0.0132495512284761,0.00702150070474678,305.368735497425,203.43689673056,268.25477224068,140.877744895147,0.103539799752976,0.142841331536422,1
2029,0.0100054778638183,0.0096936114758663,0.00933793770577243,0.00709028797207512,0.0122762969186058,0.00678893982995363,281.440689698719,207.919777145775,248.412855773464,141.79498456154,0.0932394810106632,0.148560817084493,1
2030,0.0100019958923497,0.00977251426329632,0.00936954227702719,0.00727960973468845,0.0120498685115725,0.00669904279406976,275.908468477618,200.609528285486,243.91592462722,138.787693482365,0.101022707119539,0.143462184873949,1
2031,0.00999411218336422,0.0102834443031327,0.00921374271917128,0.00766786980908868,0.01158314119116,0.00703525234436993,273.469509194928,200.536484073692,234.653290819198,138.511425383725,0.10031356205176,0.13262887552946,1
2032,0.0100004191505526,0.00983978857997275,0.00921714529702539,0.00748975195466538,0.0112237706724545,0.00685821841243154,261.56634489134,200.543580870979,227.229702828807,141.113987442806,0.0936808151413419,0.138341768264184,1
2033,0.0100025214729488,0.00985752692519019,0.00917623844870268,0.00750583539582496,0.0108876174458007,0.00695412404691531,257.398732499498,201.682135285975,220.377818430551,142.829850115529,0.0974706241666718,0.130761643251312,1
