"year","sum_saved_kw_direct_prio","sum_saved_ghg_direct_prio","sum_saved_kw_prio","sum_saved_ghg_old_prio","sum_saved_ghg_neutral_prio","sum_saved_ghg_decarb_prio","sum_saved_kw_direct_rand","sum_saved_ghg_direct_rand","sum_saved_kw_rand","sum_saved_ghg_old_rand","sum_saved_ghg_neutral_rand","sum_saved_ghg_decarb_rand","cum_saved_kw_direct_prio","cum_saved_ghg_direct_prio","cum_saved_kw_prio","cum_saved_ghg_old_prio","cum_saved_ghg_neutral_prio","cum_saved_ghg_decarb_prio","cum_saved_kw_direct_rand","cum_saved_ghg_direct_rand","cum_saved_kw_rand","cum_saved_ghg_old_rand","cum_saved_ghg_neutral_rand","cum_saved_ghg_decarb_rand","remain_kw_direct_prio","remain_ghg_direct_prio","remain_kw_prio","remain_ghg_old_prio","remain_ghg_neutral_prio","remain_ghg_decarb_prio","remain_kw_direct_rand","remain_ghg_direct_rand","remain_kw_rand","remain_ghg_old_rand","remain_ghg_neutral_rand","remain_ghg_decarb_rand","relative_kw_direct_prio","relative_ghg_direct_prio","relative_kw_prio","relative_ghg_old_prio","relative_ghg_neutral_prio","relative_ghg_decarb_prio","relative_kw_direct_rand","relative_ghg_direct_rand","relative_kw_rand","relative_ghg_old_rand","relative_ghg_neutral_rand","relative_ghg_decarb_rand"
2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3023381249.48806,0.000677843714824238,3385687526.54006,0.00078088306386573,0.00078088306386573,0.00078088306386573,3023381249.48806,0.000677843714824238,3385687526.54006,0.00078088306386573,0.00078088306386573,0.00078088306386573,1,1,1,1,1,1,1,1,1,1,1,1
2024,83139108.3466018,2.4891064365639e-05,92504276.1039747,2.53519385409474e-05,2.8826534361718e-05,3.02781907255248e-05,21164660.9617714,7.3352843642407e-06,23303923.7583338,6.36356555246756e-06,7.61407970920542e-06,8.53014254925342e-06,83139108.3466018,2.4891064365639e-05,92504276.1039747,2.53519385409474e-05,2.8826534361718e-05,3.02781907255248e-05,21164660.9617714,7.3352843642407e-06,23303923.7583338,6.36356555246756e-06,7.61407970920542e-06,8.53014254925342e-06,2940242141.14145,0.0006529526504586,3293183250.43609,0.000755531125324783,0.000752056529504012,0.000750604873140206,3002216588.52629,0.000670508430459998,3362383602.78173,0.000774519498313263,0.000773268984156525,0.000772352921316477,0.972501282013084,0.96327905117171,0.97267784596811,0.967534270220379,0.963084697702351,0.961225704427967,0.992999671819306,0.989178502059073,0.993116930143241,0.991850808594868,0.990249398326668,0.989076286906486
2025,59651302.236487,1.82654043682497e-05,66960533.880456,1.86366846127607e-05,2.1356832201602e-05,2.2431285921662e-05,19194904.4537212,6.72869448302207e-06,21145468.5274493,5.69782367437028e-06,6.90359003626942e-06,7.71074447637741e-06,142790410.583089,4.31564687338887e-05,159464809.984431,4.39886231537081e-05,5.018336656332e-05,5.27094766471868e-05,40359565.4154926,1.40639788472628e-05,44449392.2857831,1.20613892268378e-05,1.45176697454748e-05,1.62408870256308e-05,2880590838.90497,0.00063468724609035,3226222716.55563,0.000736894440712022,0.00073069969730241,0.000728173587218544,2983021684.07256,0.000663779735976976,3341238134.25428,0.000768821674638892,0.000766365394120256,0.0007646421768401,0.952771285259751,0.93633271535891,0.952900316779265,0.94366810449705,0.935735106976339,0.93250016668789,0.986650851452384,0.979251885737541,0.986871383747806,0.984554167217908,0.981408650773388,0.979201896190153
2026,54281578.0594518,1.67570196707482e-05,59168624.4757748,1.59741441468393e-05,1.84496260906241e-05,1.94643801705641e-05,21547797.6477756,7.47888523313525e-06,23418081.6549558,6.2830699913694e-06,7.60125009878482e-06,8.4605369780288e-06,197071988.642541,5.99134884046369e-05,218633434.460205,5.99627673005473e-05,6.86329926539441e-05,7.21738568177509e-05,61907363.0632682,2.1542864080398e-05,67867473.940739,1.83444592182072e-05,2.21189198442597e-05,2.47014240036596e-05,2826309260.84552,0.000617930226419602,3167054092.07986,0.000720920296565183,0.000712250071211786,0.000708709207047979,2961473886.42479,0.00065630085074384,3317820052.59932,0.000762538604647523,0.000758764144021471,0.000756181639862071,0.934817354352545,0.91161164868192,0.935424213620909,0.923211592010071,0.912108488671557,0.907574052815978,0.979523798702611,0.968218538271785,0.979954596102348,0.9765080585467,0.971674478718029,0.968367320093515
2027,48879389.8276274,1.52350719047913e-05,53839736.7347123,1.47364257348354e-05,1.69935844540367e-05,1.80750266940281e-05,20471590.07362,7.15013675564542e-06,22863013.3708041,6.22506002741684e-06,7.51769367514381e-06,8.35784979549182e-06,245951378.470168,7.51485603094281e-05,272473171.194918,7.46991930353827e-05,8.56265771079808e-05,9.0248883511779e-05,82378953.1368882,2.86930008360434e-05,90730487.311543,2.45695192456241e-05,2.96366135194035e-05,3.30592737991515e-05,2777429871.01789,0.00060269515451481,3113214355.34514,0.000706183870830348,0.00069525648675775,0.000690634180353951,2941002296.35117,0.000649150713988195,3294957039.22852,0.000756313544620106,0.000751246450346327,0.000747823790066579,0.918650226956387,0.889135860278776,0.919522055990392,0.904340103541768,0.890346479427931,0.884427147049386,0.972752707535367,0.957670182361308,0.973201753971589,0.968536237520643,0.962047309141668,0.957664245353853
2028,46412583.6461254,1.45462841250879e-05,50762748.7856033,1.3812212991324e-05,1.60646271115058e-05,1.69758050115495e-05,21681260.5955619,7.56026118490421e-06,23223876.9941723,6.27260696214063e-06,7.64578775311693e-06,8.45659607372893e-06,292363962.116293,8.9694844434516e-05,323235919.980521,8.85114060267067e-05,0.000101691204219487,0.000107224688523329,104060213.73245,3.62532620209477e-05,113954364.305715,3.08421262077647e-05,3.72824012725204e-05,4.15158698728804e-05,2731017287.37176,0.000588148870389722,3062451606.55954,0.000692371657839024,0.000679191859646244,0.000673658375342402,2919321035.75561,0.000641590452803291,3271733162.23435,0.000750040937657966,0.00074360066259321,0.00073936719399285,0.903299009291071,0.867676217285907,0.904528720548867,0.886652163272008,0.869774094323331,0.862687906185957,0.965581511180546,0.946516783694973,0.966342326805874,0.960503527820053,0.952256102100671,0.946834715985057
2029,42699546.4864464,1.33329431884165e-05,47651114.3297181,1.3203018323272e-05,1.52645274334873e-05,1.61260214732953e-05,20631205.4253963,7.24319328760096e-06,22570439.8333977,6.15596449332505e-06,7.47459142024862e-06,8.3120889397806e-06,335063508.60274,0.000103027787622933,370887034.310239,0.000101714424349979,0.000116955731652974,0.000123350709996624,124691419.157846,4.34964553085486e-05,136524804.139113,3.69980907010898e-05,4.4756992692769e-05,4.9827958812661e-05,2688317740.88532,0.000574815927201306,3014800492.22982,0.000679168639515752,0.000663927332212756,0.000657532353869106,2898689830.33021,0.00063434725951569,3249162722.40095,0.00074388497316464,0.000736126071172961,0.000731055105053069,0.889175899116436,0.848006575306747,0.890454440522673,0.869744358590074,0.850226318043076,0.842036899371359,0.958757626356597,0.935831144617418,0.959675899483071,0.95262019063657,0.942684129335318,0.936190242664517
2030,42415430.5804605,1.32425062131326e-05,46319232.0339816,1.25938147908419e-05,1.45556981027575e-05,1.54803619262895e-05,20585638.8961505,7.15447212680624e-06,22684984.7519714,6.20461701890765e-06,7.47319685597415e-06,8.30752205614216e-06,377478939.1832,0.000116270293836065,417206266.344221,0.000114308239140821,0.000131511429755731,0.000138831071922913,145277058.053997,5.06509274353549e-05,159209788.891084,4.32027077199974e-05,5.22301895487432e-05,5.81354808688031e-05,2645902310.30486,0.000561573420988173,2968481260.19584,0.00066657482472491,0.000649371634109999,0.000642051991942817,2878104191.43406,0.000627192787388884,3226477737.64898,0.000737680356145733,0.000728652874316987,0.000722747582996927,0.875146761842517,0.828470351950946,0.876773546562173,0.853616700847702,0.831586269646201,0.822212725122202,0.951948812913159,0.925276392879901,0.952975640060385,0.944674548957274,0.933113942451025,0.92555161770188
2031,40520482.9776651,1.27817480462993e-05,43874859.2397141,1.19154582050211e-05,1.39055892970632e-05,1.47563224570031e-05,21553890.0894353,7.51101084883577e-06,23547932.3213624,6.38726420675662e-06,7.7109541436085e-06,8.60362874390851e-06,417999422.160865,0.000129052041882364,461081125.583935,0.000126223697345842,0.000145417019052795,0.000153587394379917,166830948.143432,5.81619382841906e-05,182757721.212447,4.95899719267541e-05,5.99411436923517e-05,6.67391096127116e-05,2605381827.32719,0.000548791672941874,2924606400.95613,0.000654659366519889,0.000635466044812936,0.000627295669485814,2856550301.34462,0.000619681776540048,3202929805.32761,0.000731293091938976,0.000720941920173379,0.000714143954253019,0.861744388924935,0.8096138695985,0.863814624955916,0.838357747546763,0.813778751541987,0.80331575688223,0.944819745054752,0.91419565157542,0.946020499594299,0.936495009020607,0.923239283234528,0.914533798079417
2032,38494243.1551699,1.22054400564309e-05,41830340.8113565,1.14611141773239e-05,1.33860091783448e-05,1.41702132587768e-05,21382527.793513,7.3793000041201e-06,23247323.3780143,6.28265615936235e-06,7.57609011292643e-06,8.3926802726624e-06,456493665.316035,0.000141257481938795,502911466.395291,0.000137684811523166,0.000158803028231139,0.000167757607638693,188213475.936945,6.55412382883107e-05,206005044.590461,5.58726280861164e-05,6.75172338052781e-05,7.5131789885374e-05,2566887584.17202,0.000536586232885443,2882776060.14477,0.000643198252342565,0.000622080035634591,0.000613125456227037,2835167773.55111,0.000612302476535928,3179682481.9496,0.000725010435779614,0.000713365830060452,0.000705751273980356,0.849012205988467,0.791607595011156,0.851459574324854,0.823680627875879,0.796636608501929,0.785169360943473,0.937747356219526,0.903309218843601,0.939154147281576,0.928449430303276,0.913537331094061,0.903786119379466
