"year","sum_saved_kw_direct_prio","sum_saved_ghg_direct_prio","sum_saved_kw_prio","sum_saved_ghg_old_prio","sum_saved_ghg_neutral_prio","sum_saved_ghg_decarb_prio","sum_saved_kw_direct_rand","sum_saved_ghg_direct_rand","sum_saved_kw_rand","sum_saved_ghg_old_rand","sum_saved_ghg_neutral_rand","sum_saved_ghg_decarb_rand","cum_saved_kw_direct_prio","cum_saved_ghg_direct_prio","cum_saved_kw_prio","cum_saved_ghg_old_prio","cum_saved_ghg_neutral_prio","cum_saved_ghg_decarb_prio","cum_saved_kw_direct_rand","cum_saved_ghg_direct_rand","cum_saved_kw_rand","cum_saved_ghg_old_rand","cum_saved_ghg_neutral_rand","cum_saved_ghg_decarb_rand","remain_kw_direct_prio","remain_ghg_direct_prio","remain_kw_prio","remain_ghg_old_prio","remain_ghg_neutral_prio","remain_ghg_decarb_prio","remain_kw_direct_rand","remain_ghg_direct_rand","remain_kw_rand","remain_ghg_old_rand","remain_ghg_neutral_rand","remain_ghg_decarb_rand","relative_kw_direct_prio","relative_ghg_direct_prio","relative_kw_prio","relative_ghg_old_prio","relative_ghg_neutral_prio","relative_ghg_decarb_prio","relative_kw_direct_rand","relative_ghg_direct_rand","relative_kw_rand","relative_ghg_old_rand","relative_ghg_neutral_rand","relative_ghg_decarb_rand"
2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3023381249.48806,0.000677843714824238,3385687526.54006,0.00078088306386573,0.00078088306386573,0.00078088306386573,3023381249.48806,0.000677843714824238,3385687526.54006,0.00078088306386573,0.00078088306386573,0.00078088306386573,1,1,1,1,1,1,1,1,1,1,1,1
2024,170591591.984827,5.17081829208459e-05,189671837.829016,5.21363433296635e-05,5.95570714358928e-05,6.26246704797356e-05,51610502.8993757,1.79810661715862e-05,56614695.7447837,1.5295467912103e-05,1.84107362114792e-05,2.06271713712752e-05,170591591.984827,5.17081829208459e-05,189671837.829016,5.21363433296635e-05,5.95570714358928e-05,6.26246704797356e-05,51610502.8993757,1.79810661715862e-05,56614695.7447837,1.5295467912103e-05,1.84107362114792e-05,2.06271713712752e-05,2852789657.50323,0.000626135531903393,3196015688.71105,0.000728746720536067,0.000721325992429838,0.000718258393385995,2971770746.58868,0.000659862648652652,3329072830.79528,0.000765587595953627,0.000762472327654251,0.000760255892494455,0.943575891391893,0.923716659474738,0.943978339305622,0.933234122057194,0.923731126730988,0.919802754884048,0.982929541913341,0.973473138751093,0.983278227745181,0.980412601297327,0.976423184131645,0.973584814006388
2025,121772370.131466,3.798666151367e-05,133564082.151505,3.63750626970431e-05,4.21341327835937e-05,4.46000180435929e-05,52449710.8330744,1.82721958493614e-05,57339668.5609317,1.55466582956617e-05,1.88716650610411e-05,2.0888698501605e-05,292363962.116293,8.9694844434516e-05,323235919.980521,8.85114060267066e-05,0.000101691204219486,0.000107224688523329,104060213.73245,3.62532620209476e-05,113954364.305715,3.08421262077648e-05,3.72824012725204e-05,4.15158698728803e-05,2731017287.37176,0.000588148870389722,3062451606.55954,0.000692371657839024,0.000679191859646244,0.000673658375342402,2919321035.75561,0.000641590452803291,3271733162.23435,0.000750040937657966,0.00074360066259321,0.00073936719399285,0.903299009291071,0.867676217285907,0.904528720548867,0.886652163272008,0.869774094323332,0.862687906185957,0.965581511180546,0.946516783694973,0.966342326805874,0.960503527820053,0.952256102100671,0.946834715985057
2026,106167396.129745,3.31547576746533e-05,116552359.307878,3.18517574545776e-05,3.68597224141704e-05,3.90687269176305e-05,51917862.4875923,1.8115185218242e-05,57051468.2843614,1.55682275383835e-05,1.8807858810812e-05,2.09328704105479e-05,398531358.246038,0.000122849602109169,439788279.288399,0.000120363163481284,0.000138550926633657,0.000146293415440959,155978076.220042,5.43684472391896e-05,171005832.590077,4.64103537461483e-05,5.60902600833324e-05,6.24487402834282e-05,2624849891.24202,0.000554994112715069,2945899247.25166,0.000660519900384446,0.000642332137232073,0.000634589648424771,2867403173.26801,0.000623475267585049,3214681693.94998,0.000734472710119582,0.000724792803782398,0.000718434323582302,0.868183558288085,0.818764120072982,0.87010370099398,0.845862755832568,0.822571479591623,0.812656437038422,0.948409392217255,0.9197920611342,0.949491548983898,0.940566832738828,0.928170730447578,0.920028051352173
2027,95840856.2452997,3.04122774153353e-05,103929240.492458,2.83717206815523e-05,3.32091245376524e-05,3.51751825781685e-05,53495369.0912478,1.85592648828554e-05,58015787.041327,1.56681901212964e-05,1.89242143465347e-05,2.10195451463906e-05,494372214.491338,0.000153261879524505,543717519.780857,0.000148734884162836,0.000171760051171309,0.000181468598019127,209473445.31129,7.29277121220449e-05,229021619.631404,6.20785438674447e-05,7.5014474429867e-05,8.34682854298188e-05,2529009034.99672,0.000524581835299734,2841970006.7592,0.000632148179702894,0.000609123012694421,0.000599414465846603,2813907804.17677,0.000604916002702194,3156665906.90866,0.000718804519998286,0.000705868589435863,0.000697414778435911,0.836483667226868,0.773897911608954,0.839407058235968,0.809529888602616,0.780043825869372,0.767611046498083,0.930715504256448,0.892412202802596,0.932355949024791,0.920502125426914,0.90393635372432,0.893110390925099
2028,90497611.9402309,2.87986591516985e-05,97458456.7241284,2.62968767624315e-05,3.0775665273674e-05,3.27545970335061e-05,53676264.4445428,1.86554248883843e-05,58213509.4050223,1.56833623382402e-05,1.89476951941269e-05,2.11381628339589e-05,584869826.431569,0.000182060538676203,641175976.504985,0.000175031760925268,0.000202535716444983,0.000214223195052634,263149709.755833,9.15831370104293e-05,287235129.036426,7.77619062056849e-05,9.3962169623994e-05,0.000104606448263778,2438511423.05649,0.000495783176148035,2744511550.03508,0.000605851302940462,0.000578347347420747,0.000566659868813097,2760231539.73222,0.000586260577813809,3098452397.50363,0.000703121157660045,0.000686920894241736,0.000676276615601953,0.806551083648282,0.73141221981617,0.810621632540253,0.775854069546879,0.740632463659362,0.725665461366097,0.91296178416123,0.864890482853889,0.915161949593748,0.900417988551669,0.879671907393102,0.866040828512879
2029,85939433.7627257,2.73400031117148e-05,92013671.5438264,2.46672089268297e-05,2.8936638305039e-05,3.07629085068891e-05,52238772.2974402,1.82424703252026e-05,56845413.0686725,1.53930799082298e-05,1.8633962239912e-05,2.07773424796959e-05,670809260.194295,0.000209400541787918,733189648.048812,0.000199698969852098,0.000231472354750022,0.000244986103559523,315388482.053273,0.000109825607335632,344080542.105099,9.31549861139147e-05,0.000112596131863906,0.000125383790743474,2352571989.29376,0.000468443173036321,2652497878.49125,0.000581184094013633,0.000549410709115708,0.000535896960306208,2707992767.43478,0.000568018107488607,3041606984.43496,0.000687728077751816,0.000668286932001824,0.000655499273122257,0.778126142606765,0.69107843414582,0.783444383954097,0.744265205518102,0.703576162089971,0.686270435490394,0.895683522510872,0.837977980862286,0.898372032443075,0.880705587783202,0.855809227944446,0.839433333176972
2030,81638426.8524524,2.61632878347339e-05,87389156.6092143,2.33556782217716e-05,2.74479069758293e-05,2.93130740362851e-05,54835964.51857,1.90647674745284e-05,59941660.9112031,1.63181994904534e-05,1.97028671030622e-05,2.18805367427982e-05,752447687.046747,0.000235563829622652,820578804.658026,0.000223054648073869,0.000258920261725852,0.000274299177595808,370224446.571843,0.00012889037481016,404022203.016302,0.000109473185604368,0.000132298998966968,0.000147264327486272,2270933562.44131,0.000442279885201587,2565108721.88204,0.000557828415791861,0.000521962802139879,0.000506583886269923,2653156802.91621,0.000548953340014078,2981665323.52376,0.000671409878261362,0.000648584064898762,0.000633618736379458,0.75112378328927,0.652480616887136,0.757633036650432,0.714355889639037,0.668426332050183,0.648732069769959,0.877546225228944,0.809852371584531,0.880667604482335,0.859808477517203,0.830577707356045,0.811413085645313
2031,78253524.1647673,2.52363309623462e-05,82510954.2182887,2.1855418205884e-05,2.58040908297832e-05,2.76565351595793e-05,53269087.3002551,1.84948774928928e-05,57996038.8336471,1.56658069421642e-05,1.88905663115065e-05,2.10544231113506e-05,830701211.211514,0.000260800160584998,903089758.876315,0.000244910066279753,0.000284724352555635,0.000301955712755387,423493533.872098,0.000147385252303053,462018241.849949,0.000125138992546532,0.000151189565278475,0.000168318750597622,2192680038.27654,0.000417043554239241,2482597767.66375,0.000535972997585977,0.000496158711310095,0.000478927351110343,2599887715.61596,0.000530458462521185,2923669284.69011,0.000655744071319198,0.000629693498587256,0.000612564313268108,0.725240999178593,0.61525030787868,0.73326252000603,0.686367808942691,0.635381575384516,0.61331507017124,0.859927181216789,0.782567501800515,0.863537837373285,0.83974682210799,0.806386420355928,0.784450760445018
2032,73801443.5993951,2.4184142915682e-05,77703666.3772395,2.06833895876224e-05,2.46155232254899e-05,2.63966766739219e-05,52807004.8749605,1.84466879590998e-05,58099467.0951479,1.59384959351542e-05,1.92774753200781e-05,2.13655272798261e-05,904502654.81091,0.00028498430350068,980793425.253554,0.000265593455867376,0.000309339875781125,0.000328352389429309,476300538.747059,0.000165831940262153,520117708.945097,0.000141077488481687,0.000170467040598553,0.000189684277877449,2118878594.67715,0.000392859411323559,2404894101.28651,0.000515289607998355,0.000471543188084606,0.000452530674436421,2547080710.741,0.000512011774562086,2865569817.59496,0.000639805575384044,0.000610416023267177,0.000591198785988282,0.700830765235424,0.579572256453577,0.710311888629646,0.659880629818547,0.603858900140887,0.579511447202077,0.842460973511789,0.755353724412489,0.846377521591125,0.819335960773322,0.781699657110422,0.757090034789045
