year,yearly_cost_rand,yearly_cost_prio,share_gdp_prio,share_gdp_rand,io_cost_prio,io_cost_rand,io_status_quo,yearly_io_hp_cost,more_hps_prio,renovation_cost_prio,hp_cost_prio
2024,109607863977.457,138691419811.756,0.0193975339521634,0.0124120577547016,80760315517.2771,51676759682.9787,57931104294.4785,8621093632.86732,0.0126822426340883,138691419811.756,0
2025,111313891132.14,133453116483.074,0.0179597667735854,0.0126948736341166,75522012188.5955,53382786837.6618,57931104294.4785,8539321752.03547,0.0125619503744843,133453116483.074,0
2026,111799561072.563,132639774381.106,0.0175904427845396,0.0126835346653555,74708670086.6271,53868456778.0844,57931104294.4785,8393775842.8978,0.0123478419779526,132639774381.106,0
2027,112817293995.489,131758657411.707,0.0172108716991414,0.0127952116670976,73827553117.2286,54886189701.0105,57931104294.4785,8547494474.15028,0.0125739730306872,131758657411.707,0
2028,111492345301.035,130502924701.045,0.0167506257575445,0.0123627090816271,72571820406.5666,53561241006.5566,57931104294.4785,8585053268.13149,0.0126292246911607,130502924701.045,0
2029,114854041704.833,131278386657.348,0.0167619936560209,0.0130085517147593,73347282362.8691,56922937410.3546,57931104294.4785,8183919989.2501,0.0120391290735947,131278386657.348,0
2030,113661500448.631,128502654224.046,0.0159679780428396,0.0126099220294355,70571549929.5679,55730396154.1526,57931104294.4785,8344828829.57629,0.0122758374358849,128502654224.046,0
2031,108779592293.829,128947916051.079,0.0159096295849569,0.0113913957697432,71016811756.6004,50848487999.35,57931104294.4785,8200265433.47972,0.0120631743860005,128947916051.079,0
2032,114214591679.828,128260259852.949,0.015599580742435,0.0124841368982972,70329155558.4702,56283487385.3495,57931104294.4785,8314996160.87308,0.0122319514558656,128260259852.949,0
2033,112564154636.996,127497227899.203,0.0152775584426599,0.0119980757336879,69566123604.7248,54633050342.517,57931104294.4785,8197273234.67273,0.0120587726484837,127497227899.203,0
2034,110532840130.566,127173273833.743,0.0150558556721835,0.0114375986212472,69242169539.2643,52601735836.0873,57931104294.4785,8307627313.06463,0.0122211113560105,127173273833.743,0
2035,115821655418.87,125591983050.775,0.0145663598974906,0.0124629567017484,67660878756.2963,57890551124.3917,57931104294.4785,7954369215.09639,0.0117014435387153,125591983050.775,0
2036,109808337852.914,123804940073.504,0.0140412244329241,0.0110578027032874,65873835779.0259,51877233558.4359,57931104294.4785,7996974553.33425,0.0117641190251501,123804940073.504,0
2037,111182620668.624,124146198247.624,0.0139742225083817,0.0112383520779659,66215093953.1453,53251516374.1452,57931104294.4785,7902072725.49827,0.0116245116785316,124146198247.624,0
2038,113525030191.13,121860855298.084,0.0133583338677226,0.0116165355172902,63929751003.6056,55593925896.6519,57931104294.4785,7668725878.23095,0.0112812418497872,121860855298.084,0
2039,111195176006.511,117838799416.532,0.0123939722066224,0.0110195096483932,59907695122.0539,53264071712.0322,57931104294.4785,8001708479.80512,0.0117710829680873,117838799416.532,0
2040,111683148385.579,118138425251.144,0.0123326338028485,0.0110103599595011,60207320956.6659,53752044091.1,57931104294.4785,7693958599.51439,0.011318360979594,118138425251.144,0
2041,111103774500.234,115337192254.127,0.0116424159550924,0.0107838448147434,57406087959.648,53172670205.7556,57931104294.4785,7570653212.85318,0.0111369699753523,115337192254.127,0
2042,109236069700.273,112597062119.683,0.0109769262812548,0.0103020388835496,54665957825.2044,51304965405.7947,57931104294.4785,7774792626.98885,0.0114372735901256,112597062119.683,0
2043,109613104164.141,108584886267.71,0.0100705754723396,0.0102749974429141,50653781973.2318,51681999869.6627,57931104294.4785,7534478869.06631,0.0110837549397001,108584886267.71,0
2044,109951236336.437,107111884009.653,0.00968091591128573,0.01023982390903,49180779715.1744,52020132041.9583,57931104294.4785,7554397087.99097,0.0111130560580963,106828565355.19,283318654.46326
2045,111060267900.574,102051847395.818,0.00859889176905714,0.0103545837063536,44120743101.3399,53129163606.0959,57931104294.4785,7355572176.21416,0.0108205704547337,101294346307.587,757501088.231416
2046,111435762551.788,98302990731.9357,0.00779035652257449,0.0103245203587074,40371886437.4572,53504658257.3093,57931104294.4785,7194841974.62271,0.010584124882743,97065513096.7103,1237477635.22543
2047,112401930538.895,93831213836.4916,0.00685887187845613,0.0104068879758396,35900109542.0131,54470826244.4168,57931104294.4785,6836760630.81627,0.0100573617273609,92208207339.0924,1623006497.3993
2048,109124904274.141,88760481160.6858,0.00583176868656158,0.00968395828962539,30829376866.2073,51193799979.6626,57931104294.4785,6929384814.78414,0.0101936184976605,86138097310.1282,2622383850.55761
2049,109073156361.171,81585299617.832,0.00443018995255433,0.00957838565724467,23654195323.3535,51142052066.6928,57931104294.4785,6511995411.0406,0.00957960896283858,78252553268.3486,3332746349.48341
2050,110315434217.132,76012791023.4037,0.00335298596875965,0.00971391252634395,18081686728.9252,52384329922.6536,57931104294.4785,6103895221.50415,0.00897926452359168,72137639884.3578,3875151139.04589
