"year","rate","Variable","Value"
2023,1.5,"sum_saved_kw_direct_prio",0
2023,1.5,"sum_saved_ghg_direct_prio",0
2023,1.5,"sum_saved_kw_prio",0
2023,1.5,"sum_saved_ghg_old_prio",0
2023,1.5,"sum_saved_ghg_neutral_prio",0
2023,1.5,"sum_saved_ghg_decarb_prio",0
2023,1.5,"sum_saved_kw_direct_rand",0
2023,1.5,"sum_saved_ghg_direct_rand",0
2023,1.5,"sum_saved_kw_rand",0
2023,1.5,"sum_saved_ghg_old_rand",0
2023,1.5,"sum_saved_ghg_neutral_rand",0
2023,1.5,"sum_saved_ghg_decarb_rand",0
2023,1.5,"cum_saved_kw_direct_prio",0
2023,1.5,"cum_saved_ghg_direct_prio",0
2023,1.5,"cum_saved_kw_prio",0
2023,1.5,"cum_saved_ghg_old_prio",0
2023,1.5,"cum_saved_ghg_neutral_prio",0
2023,1.5,"cum_saved_ghg_decarb_prio",0
2023,1.5,"cum_saved_kw_direct_rand",0
2023,1.5,"cum_saved_ghg_direct_rand",0
2023,1.5,"cum_saved_kw_rand",0
2023,1.5,"cum_saved_ghg_old_rand",0
2023,1.5,"cum_saved_ghg_neutral_rand",0
2023,1.5,"cum_saved_ghg_decarb_rand",0
2023,1.5,"remain_kw_direct_prio",3023381249.48806
2023,1.5,"remain_ghg_direct_prio",0.000677843714824238
2023,1.5,"remain_kw_prio",3385687526.54006
2023,1.5,"remain_ghg_old_prio",0.00078088306386573
2023,1.5,"remain_ghg_neutral_prio",0.00078088306386573
2023,1.5,"remain_ghg_decarb_prio",0.00078088306386573
2023,1.5,"remain_kw_direct_rand",3023381249.48806
2023,1.5,"remain_ghg_direct_rand",0.000677843714824238
2023,1.5,"remain_kw_rand",3385687526.54006
2023,1.5,"remain_ghg_old_rand",0.00078088306386573
2023,1.5,"remain_ghg_neutral_rand",0.00078088306386573
2023,1.5,"remain_ghg_decarb_rand",0.00078088306386573
2023,1.5,"relative_kw_direct_prio",1
2023,1.5,"relative_ghg_direct_prio",1
2023,1.5,"relative_kw_prio",1
2023,1.5,"relative_ghg_old_prio",1
2023,1.5,"relative_ghg_neutral_prio",1
2023,1.5,"relative_ghg_decarb_prio",1
2023,1.5,"relative_kw_direct_rand",1
2023,1.5,"relative_ghg_direct_rand",1
2023,1.5,"relative_kw_rand",1
2023,1.5,"relative_ghg_old_rand",1
2023,1.5,"relative_ghg_neutral_rand",1
2023,1.5,"relative_ghg_decarb_rand",1
2024,1.5,"sum_saved_kw_direct_prio",113552273.008021
2024,1.5,"sum_saved_ghg_direct_prio",3.41713159400954e-05
2024,1.5,"sum_saved_kw_prio",127036973.151867
2024,1.5,"sum_saved_ghg_old_prio",3.50332833827022e-05
2024,1.5,"sum_saved_ghg_neutral_prio",3.98462354702346e-05
2024,1.5,"sum_saved_ghg_decarb_prio",4.19123243540654e-05
2024,1.5,"sum_saved_kw_direct_rand",31244756.0257562
2024,1.5,"sum_saved_ghg_direct_rand",1.08411544846282e-05
2024,1.5,"sum_saved_kw_rand",34503615.5477567
2024,1.5,"sum_saved_ghg_old_rand",9.41039838980147e-06
2024,1.5,"sum_saved_ghg_neutral_rand",1.12912946578321e-05
2024,1.5,"sum_saved_ghg_decarb_rand",1.26107505778801e-05
2024,1.5,"cum_saved_kw_direct_prio",113552273.008021
2024,1.5,"cum_saved_ghg_direct_prio",3.41713159400954e-05
2024,1.5,"cum_saved_kw_prio",127036973.151867
2024,1.5,"cum_saved_ghg_old_prio",3.50332833827022e-05
2024,1.5,"cum_saved_ghg_neutral_prio",3.98462354702346e-05
2024,1.5,"cum_saved_ghg_decarb_prio",4.19123243540654e-05
2024,1.5,"cum_saved_kw_direct_rand",31244756.0257562
2024,1.5,"cum_saved_ghg_direct_rand",1.08411544846282e-05
2024,1.5,"cum_saved_kw_rand",34503615.5477567
2024,1.5,"cum_saved_ghg_old_rand",9.41039838980147e-06
2024,1.5,"cum_saved_ghg_neutral_rand",1.12912946578321e-05
2024,1.5,"cum_saved_ghg_decarb_rand",1.26107505778801e-05
2024,1.5,"remain_kw_direct_prio",2909828976.48004
2024,1.5,"remain_ghg_direct_prio",0.000643672398884143
2024,1.5,"remain_kw_prio",3258650553.38819
2024,1.5,"remain_ghg_old_prio",0.000745849780483028
2024,1.5,"remain_ghg_neutral_prio",0.000741036828395496
2024,1.5,"remain_ghg_decarb_prio",0.000738970739511665
2024,1.5,"remain_kw_direct_rand",2992136493.4623
2024,1.5,"remain_ghg_direct_rand",0.00066700256033961
2024,1.5,"remain_kw_rand",3351183910.9923
2024,1.5,"remain_ghg_old_rand",0.000771472665475929
2024,1.5,"remain_ghg_neutral_rand",0.000769591769207898
2024,1.5,"remain_ghg_decarb_rand",0.00076827231328785
2024,1.5,"relative_kw_direct_prio",0.962441960296192
2024,1.5,"relative_ghg_direct_prio",0.949588208619806
2024,1.5,"relative_kw_prio",0.962478234581296
2024,1.5,"relative_ghg_old_prio",0.95513632577806
2024,1.5,"relative_ghg_neutral_prio",0.94897285225655
2024,1.5,"relative_ghg_decarb_prio",0.946327015793402
2024,1.5,"relative_kw_direct_rand",0.989665624859238
2024,1.5,"relative_ghg_direct_rand",0.984006409962156
2024,1.5,"relative_kw_rand",0.989808978153688
2024,1.5,"relative_ghg_old_rand",0.987949029982523
2024,1.5,"relative_ghg_neutral_rand",0.985540351455524
2024,1.5,"relative_ghg_decarb_rand",0.983850654263839
2025,1.5,"sum_saved_kw_direct_prio",83519715.6345196
2025,1.5,"sum_saved_ghg_direct_prio",2.57421724645416e-05
2025,1.5,"sum_saved_kw_prio",91596461.3083388
2025,1.5,"sum_saved_ghg_old_prio",2.49294839178452e-05
2025,1.5,"sum_saved_ghg_neutral_prio",2.87867571837095e-05
2025,1.5,"sum_saved_ghg_decarb_prio",3.02615324636855e-05
2025,1.5,"sum_saved_kw_direct_rand",30662607.037512
2025,1.5,"sum_saved_ghg_direct_rand",1.07017095957698e-05
2025,1.5,"sum_saved_kw_rand",33363858.3929823
2025,1.5,"sum_saved_ghg_old_rand",8.9340608284058e-06
2025,1.5,"sum_saved_ghg_neutral_rand",1.08276251864275e-05
2025,1.5,"sum_saved_ghg_decarb_rand",1.20906734257795e-05
2025,1.5,"cum_saved_kw_direct_prio",197071988.642541
2025,1.5,"cum_saved_ghg_direct_prio",5.99134884046369e-05
2025,1.5,"cum_saved_kw_prio",218633434.460206
2025,1.5,"cum_saved_ghg_old_prio",5.99627673005474e-05
2025,1.5,"cum_saved_ghg_neutral_prio",6.86329926539441e-05
2025,1.5,"cum_saved_ghg_decarb_prio",7.21738568177509e-05
2025,1.5,"cum_saved_kw_direct_rand",61907363.0632682
2025,1.5,"cum_saved_ghg_direct_rand",2.1542864080398e-05
2025,1.5,"cum_saved_kw_rand",67867473.940739
2025,1.5,"cum_saved_ghg_old_rand",1.83444592182073e-05
2025,1.5,"cum_saved_ghg_neutral_rand",2.21189198442597e-05
2025,1.5,"cum_saved_ghg_decarb_rand",2.47014240036597e-05
2025,1.5,"remain_kw_direct_prio",2826309260.84552
2025,1.5,"remain_ghg_direct_prio",0.000617930226419602
2025,1.5,"remain_kw_prio",3167054092.07986
2025,1.5,"remain_ghg_old_prio",0.000720920296565183
2025,1.5,"remain_ghg_neutral_prio",0.000712250071211786
2025,1.5,"remain_ghg_decarb_prio",0.000708709207047979
2025,1.5,"remain_kw_direct_rand",2961473886.42479
2025,1.5,"remain_ghg_direct_rand",0.00065630085074384
2025,1.5,"remain_kw_rand",3317820052.59932
2025,1.5,"remain_ghg_old_rand",0.000762538604647523
2025,1.5,"remain_ghg_neutral_rand",0.000758764144021471
2025,1.5,"remain_ghg_decarb_rand",0.000756181639862071
2025,1.5,"relative_kw_direct_prio",0.934817354352545
2025,1.5,"relative_ghg_direct_prio",0.91161164868192
2025,1.5,"relative_kw_prio",0.935424213620909
2025,1.5,"relative_ghg_old_prio",0.923211592010071
2025,1.5,"relative_ghg_neutral_prio",0.912108488671557
2025,1.5,"relative_ghg_decarb_prio",0.907574052815978
2025,1.5,"relative_kw_direct_rand",0.979523798702611
2025,1.5,"relative_ghg_direct_rand",0.968218538271785
2025,1.5,"relative_kw_rand",0.979954596102348
2025,1.5,"relative_ghg_old_rand",0.9765080585467
2025,1.5,"relative_ghg_neutral_rand",0.971674478718029
2025,1.5,"relative_ghg_decarb_rand",0.968367320093515
2026,1.5,"sum_saved_kw_direct_prio",72340693.5317305
2026,1.5,"sum_saved_ghg_direct_prio",2.26146190024878e-05
2026,1.5,"sum_saved_kw_prio",79653440.9989385
2026,1.5,"sum_saved_ghg_old_prio",2.17796066661369e-05
2026,1.5,"sum_saved_ghg_neutral_prio",2.52064201758241e-05
2026,1.5,"sum_saved_ghg_decarb_prio",2.67549168158875e-05
2026,1.5,"sum_saved_kw_direct_rand",31060571.2716136
2026,1.5,"sum_saved_ghg_direct_rand",1.08026073350779e-05
2026,1.5,"sum_saved_kw_rand",34186275.734957
2026,1.5,"sum_saved_ghg_old_rand",9.2729754460195e-06
2026,1.5,"sum_saved_ghg_neutral_rand",1.12036543725424e-05
2026,1.5,"sum_saved_ghg_decarb_rand",1.24432186130464e-05
2026,1.5,"cum_saved_kw_direct_prio",269412682.174271
2026,1.5,"cum_saved_ghg_direct_prio",8.25281074071247e-05
2026,1.5,"cum_saved_kw_prio",298286875.459144
2026,1.5,"cum_saved_ghg_old_prio",8.17423739666843e-05
2026,1.5,"cum_saved_ghg_neutral_prio",9.38394128297682e-05
2026,1.5,"cum_saved_ghg_decarb_prio",9.89287736336384e-05
2026,1.5,"cum_saved_kw_direct_rand",92967934.3348818
2026,1.5,"cum_saved_ghg_direct_rand",3.23454714154759e-05
2026,1.5,"cum_saved_kw_rand",102053749.675696
2026,1.5,"cum_saved_ghg_old_rand",2.76174346642268e-05
2026,1.5,"cum_saved_ghg_neutral_rand",3.33225742168021e-05
2026,1.5,"cum_saved_ghg_decarb_rand",3.71446426167061e-05
2026,1.5,"remain_kw_direct_prio",2753968567.31379
2026,1.5,"remain_ghg_direct_prio",0.000595315607417114
2026,1.5,"remain_kw_prio",3087400651.08092
2026,1.5,"remain_ghg_old_prio",0.000699140689899046
