"","year","multiplier","growth_employed","growth_employment","growth_employment_construction","growth_imports","growth_profit","growth_wages","growth_VA","initial_stimulus"
"2024",2024,1.15395715615931,1408476.04774671,1228288.31905831,377895.409848878,23960735714.8082,27179894648.7043,50571718917.505,93193946360.455,80760317541.2771
"2025",2025,1.15413659145838,1316987.90209705,1148625.30797135,352803.07104757,22409935166.272,25408588833.8715,47312902660.6715,87162720064.5504,75522014213.5955
"2026",2026,1.15411623330852,1302819.1772801,1136254.32311623,349068.746191685,22168213202.2201,25135886015.401,46800961517.6452,86222491254.1064,74708672112.6271
"2027",2027,1.15421339691963,1287384.28630268,1122856.81428268,344644.18418529,21908533161.1486,24835010180.1566,46260308604.6198,85212753209.2917,73827555144.2286
"2028",2028,1.15428495146063,1265436.93672227,1103760.69228763,338559.434217344,21537174259.9872,24409390252.0131,45481661372.4423,83768562536.293,72571822434.5666
"2029",2029,1.15409421278743,1279094.02162529,1115547.99978369,342777.062790664,21763851138.2463,24678839979.6504,45945576774.0959,84649676440.3303,73347284391.8691
"2030",2030,1.15428350342384,1230559.15029235,1073338.09092848,329232.224244288,20943527785.2253,23736666134.9189,44227905867.4753,81459578237.9474,70571551959.5679
"2031",2031,1.1542046776826,1238377.35112634,1080107.42900214,331549.540974245,21074284789.6999,23889880489.7809,44498122488.2893,81967938667.7629,71016813787.6004
"2032",2032,1.15428303088978,1226332.83059619,1069651.44578694,328102.824495501,20871584166.936,23655157525.6247,44075942432.914,81179753183.4527,70329157590.4702
"2033",2033,1.1542718055841,1213035.35981463,1058045.94353464,324576.580513082,20644946192.212,23398993703.4002,43596510935.4698,80298217447.3471,69566125637.7248
"2034",2034,1.15433269278175,1207345.73950818,1053120.92556532,322884.29637299,20549849117.3133,23287430714.6849,43400144341.1102,79928502366.222,69242171573.2643
"2035",2035,1.15426408501913,1179818.36042905,1029068.41390452,315709.626611179,20079402868.0577,22758474869.6595,42401685638.2662,78098524658.154,67660880791.2963
"2036",2036,1.15437297079294,1148587.89451186,1001892.42330986,307063.573181022,19550843056.52,22152961615.3623,41293100955.7436,76042977856.0638,65873837815.0259
"2037",2037,1.15431452869551,1154575.56624397,1007080.80991667,308820.265572031,19651169514.2102,22270110231.8359,41500912687.8876,76433047320.3928,66215095990.1453
"2038",2038,1.15433201448825,1114715.81460717,972323.04431534,298113.722085875,18973206748.4879,21500792076.9547,40070317292.4787,73796160614.2527,63929753041.6056
"2039",2039,1.15471838564734,1044361.03365543,911161.978574498,278365.638456347,17785252664.6915,20133828716.7253,37585871305.4894,69176519353.6619,59907697161.0539
"2040",2040,1.15455442673165,1049679.85279619,915714.274559325,280181.215086768,17871765347.3573,20240612783.5851,37758278378.8069,69512631287.4632,60207322996.6659
"2041",2041,1.15467045927349,1000777.53890487,873112.606464524,266859.715649824,17041901652.7568,19294782497.6572,36012030732.9285,66285116306.1436,57406090000.648
"2042",2042,1.15496409497724,952852.752036527,831444.724087058,253433.469711614,16232417718.6183,18363900632.0067,34318419939.2281,63137220864.0876,54665959867.2044
"2043",2043,1.15514919127822,882827.98665648,770425.9266316,234430.777735699,15043366014.3289,17010312858.1982,31814434820.2207,58512677641.532,50653784016.2318
"2044",2044,1.15528714260568,857089.888051699,748025.41681909,227322.61600919,14607584476.0934,16511473669.017,30899983164.1035,56817924829.6701,49180781759.1744
"2045",2045,1.1556592658759,768748.115310725,671071.779618721,203230.081092279,13108719200.4864,14802544828.3916,27746701327.2774,50988547945.7169,44120745146.3399
"2046",2046,1.15598567865775,703301.5553034,614058.535720867,185396.857783539,11998152607.9938,13536676419.4994,25409911020.7323,46669324907.2442,40371888483.4572
"2047",2047,1.1563326601671,625280.121089058,546048.68265626,164327.226380937,10672260159.3213,12029612120.9126,22615048536.1307,41512471534.0194,35900111589.0131
"2048",2048,1.15730703543824,536671.466991259,468936.442665334,139828.469657466,9172273922.72455,10311963526.125,19468174418.1032,35679057115.6035,30829378914.2073
"2049",2049,1.15874143630549,411439.159884871,359813.544270456,105829.907464501,7045918090.11637,7891055949.82583,14990722693.4314,27409098637.8946,23654197372.3535
"2050",2050,1.16050905412359,314202.215154554,275063.538688341,79527.5607435884,5393923507.78429,6012359377.606,11509610011.9605,20983963541.7876,18081688778.9252
