"","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","2036","2037","2038","2039","2040","2041","2042","2043","2044","2045","2046","2047","2048","2049","2050"
"Products.of.agric...hunting.and.related.services",5447.91940755963,5095.76377895293,5040.7487156007,4981.93800621109,4897.66359092746,4948.74895141553,4762.66197270287,4792.21185214715,4746.30054009233,4694.73616006072,4673.25000066709,4566.11228961758,4446.15324651267,4468.84116324644,4314.70365721904,4045.31514792673,4064.66678964704,3876.14663320727,3692.5611785401,3422.38443722206,3323.46754364341,2982.99273811155,2730.70932477207,2429.35485526855,2088.89959108943,1605.75990020181,1230.32332935481
"Products.of.forestry..logging.and.related.services",763.467374080942,713.290951595184,705.682730728072,697.012557990137,684.905641944381,692.901542722418,666.032783502843,670.506073120082,663.746747872445,656.583275986442,653.321582357758,638.626366168069,621.411824699585,624.818404342583,603.199338246291,564.129121084563,567.428552668127,540.705597044737,514.119212710523,475.931764858369,461.763260344232,413.459109278686,377.690203751314,335.252345559677,286.444952367979,218.13535541643,165.198987013114
"Fish.aquaculture.prod..support.services.to.fishing",51.0928380994901,47.798974804076,47.2819387006776,46.7349535476814,45.9477556064568,46.4179377973521,44.6811627070297,44.954753812228,44.5276455113722,44.0433850881365,43.8445498502211,42.8363690337022,41.715644075378,41.9260006000425,40.4806309587506,37.968242336727,38.1434694886398,36.3786877953783,34.6660996367908,32.1357346682287,31.2113158431934,28.0244924337263,25.6628870416167,22.8388583751086,19.6576100159679,15.1329495410924,11.6153918971856
"Coal",492.98797177733,460.393206357482,455.504359442902,449.8047718565,441.917070281757,447.277580230499,429.741332422264,432.708186981557,428.266802138384,423.655981733594,421.490716896656,412.076922826783,400.865921200945,403.119192970088,389.154949885641,363.615496587359,365.884583930537,348.557299369272,331.187304665648,306.452140794469,297.230960549625,265.900667979612,242.706215687108,215.254490260814,183.479901410079,139.228697574775,104.970324121201
"Crude.petroleum.and.natural.gas",88.3760739600653,82.5742323192647,81.6927477069368,80.6924378685837,79.2932842408964,80.2123824142099,77.1082767402244,77.6235166501468,76.8436010014414,76.0138993459669,75.6382779837615,73.9347469344386,71.9451807105547,72.337755619564,69.8353569374657,65.3229407691568,65.7003232908306,62.6093277156236,59.5384364254901,55.1205189907046,53.4827980575221,47.8958620502816,43.7585948077769,38.8477464937277,33.2064732153948,25.303879731744,19.1786670969524
"Metal.ores..other.mining.and.quarr..prod..services",4196.15542778298,3901.31742582744,3861.84557551483,3804.30097010157,3730.90825585629,3794.17396690774,3628.24540615502,3660.50022608734,3615.8389214769,3577.9151466772,3554.20215328797,3480.79845635681,3376.86758325312,3400.83375545978,3281.58780586414,3036.4169021901,3068.11406962362,2914.2246014562,2748.27389709164,2530.88410317713,2445.93884669314,2166.82388978047,1960.67187992833,1722.6639230973,1429.10223897404,1039.74526372625,741.341517506816
"Food.products..beverages..tobacco.products",15189.8052909678,14209.2855816267,14055.7267336125,13892.4549704435,13657.9694729259,13799.0312274811,13281.4842481787,13363.3294775468,13235.8543194877,13091.9803484752,13032.4843918954,12733.2410607452,12399.435556813,12462.3208548462,12032.5871483593,11283.6462443937,11336.6378045716,10811.5076169823,10301.0472770598,9548.27825090374,9272.98258248488,8324.64487223004,7621.91186691404,6782.018545897,5834.56588579459,4488.47264187728,3442.21630470544
"Textiles.wearing.apparel.leather.leather.products",1955.38997392445,1828.80939462043,1809.08571825083,1787.88194255235,1757.56789002472,1776.08956942652,1709.12280220479,1719.80276675566,1703.25180881605,1684.75804039217,1676.99045725944,1638.60700692226,1595.46115069271,1603.65484683058,1548.32709306996,1451.34417340753,1458.42046386855,1390.6885132744,1324.60445536079,1227.55927295109,1191.9875477486,1069.65177819582,979.009168419845,870.799940810145,748.358778267222,574.814356730526,439.989346507858
"Wood.cork.exc.furn..art.of.straw.and.plaiting.mat.",5344.23552466329,4991.38220026102,4938.32436687745,4876.79240385121,4791.46198491869,4849.0757203932,4659.44350114313,4691.40844789088,4643.4547941396,4593.43396021816,4570.11022477074,4467.8706071869,4346.57737468642,4370.86911840249,4219.50065334421,3943.42297937487,3967.67218953142,3780.01620923018,3592.2267420645,3324.27824173324,3224.49795024929,2885.21241684326,2634.01885085776,2336.55092355833,1992.74941964378,1513.40218175647,1142.21608423515
"Paper.and.paper.products",2280.99641631493,2130.69096614193,2108.00853931714,2081.90017153689,2045.58682985752,2069.87573679998,1989.22281485343,2002.74624409386,1982.39613999597,1961.02393525144,1951.15932059436,1907.40707407201,1855.78276408755,1866.06901407028,1801.46939155366,1684.1103873739,1694.24865461171,1614.26385940946,1534.42201414201,1420.17485591295,1377.69756044978,1233.09826299543,1126.03441810805,999.14514348245,852.800639615103,648.425497867718,490.114290178217
